XYZ-ME;symbol;hemisphere;seg_id;optic_lobe_id;dorso-ventral
197029.0,77149.0,3413.0;Tm9;R;720575940638027965;R153;V
187671.0,74841.0,2611.0;Tm9;R;720575940618985432;R154;V
207864.0,74602.0,4832.0;Tm9;R;720575940638538804;R155;V
197184.0,92224.0,4918.0;Tm9;R;720575940623784940;R156;V
196931.0,91111.0,4436.0;Tm9;R;720575940618093888;R157;V
199246.0,64330.0,3406.0;Tm9;R;720575940605034161;R158;D
195128.0,93282.0,4453.0;Tm9;R;720575940627067919;R159;V
205334.0,58417.0,4558.0;Tm9;R;720575940619301766;R160;D
186577.0,96125.0,4335.0;Tm9;R;720575940626935378;R161;V
190527.0,57384.0,2933.0;Tm9;R;720575940621711128;R162;D
203419.0,70392.0,3937.0;Tm9;R;720575940625428286;R163;D
195550.0,73389.0,3051.0;Tm9;R;720575940616682530;R164;V
188516.0,96097.0,4441.0;Tm9;R;720575940605128550;R165;V
199391.0,72504.0,3391.0;Tm9;R;720575940622600644;R166;V
190094.0,66338.0,2784.0;Tm9;R;720575940625529381;R167;D
206843.0,79932.0,5209.0;Tm9;R;720575940618334001;R168;V
195675.0,84758.0,3575.0;Tm9;R;720575940617570358;R169;V
188457.0,61623.0,2851.0;Tm9;R;720575940612782899;R170;D
193826.0,70405.0,2946.0;Tm9;R;720575940605480369;R171;V
191986.0,74299.0,2907.0;Tm9;R;720575940628552091;R172;V
202692.0,78628.0,4001.0;Tm9;R;720575940622129832;R173;V
193526.0,62404.0,2972.0;Tm9;R;720575940614667462;R174;D
207144.0,76012.0,4590.0;Tm9;R;720575940623866556;R175;V
194827.0,75737.0,3140.0;Tm9;R;720575940606093490;R176;V
206146.0,77223.0,4559.0;Tm9;R;720575940615785834;R177;V
187236.0,71811.0,2682.0;Tm9;R;720575940614527594;R178;V
193413.0,76768.0,2943.0;Tm9;R;720575940629883077;R179;V
